Control No.,PRE:1. Ang COVID-19 ay isang nakakahawang sakit na nagmula sa isang:,PRE:2. Ang COVID-19 ay naipapasa sa pamamagitan ng?,PRE:3. Alin ang mga sintomas para sa mga banayad (mild) na kaso ng COVID-19?,PRE:4. Alin ang mga sintomas para sa mga katamtaman (moderate) na kaso ng COVID-19?,PRE:5. Alin ang mga sintomas para sa mga malala (severe) na kaso ng COVID-19?,PRE:6. Maaari bang magkaiba ang sintomas sa bawat tao?,PRE:7. Sino ang higit na maaaring magkaroon ng malulubhang sintomas?,PRE:8. Ano ang dapat mong gawin kapag may nakasalamuha kang taong positibo sa COVID-19?,PRE:9. Ano ang dapat mong gawin kapag nag positibo ka sa COVID-19?,PRE:10. Kailan ligtas na makisalamuha sa iba kung ikaw ay nagpositibo sa COVID-19 at ikaw ay hindi kompromisado ang iyong immune system o nagkaroon ng malubhang kaso? ,PRE:11. Ang antibiotics ba ay maaaring gamiting gamot para sa COVID-19?,PRE:12. Ang paglanghap ba ng singaw ng mainit na tubig na may asin o pagsusuob ay nakakagamot sa COVID-19?,PRE:13. Ang COVID-19 ba ay nakahahawa lang sa mga lugar na may malalamig na klima?,PRE:14. Ang paghuhugas ng kamay upang maiwasan ang pagkalat ng COVID-19 ay hindi dapat bababa sa:,PRE:15. Ano ang mga dapat tandaan upang maiwasan ang COVID-19?
187,Virus,"Pagsagap ng mga maliit na talsik ng laway mula sa pagsasalita, pagbahing, o pag-ubo (droplets)","A, B, at C","A, B, at C","A, B, at C","Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Lahat ng nabanggit,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,Magsuot ng mask o pantakip sa bibig at ilong lalo na kapag lalabas at ugaliing maghugas ng kamay.
118,Virus,"Pagsagap ng mga maliit na talsik ng laway mula sa pagsasalita, pagbahing, o pag-ubo (droplets)","A, B, at C","A, B, at C","A, B, at C","Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Lahat ng nabanggit,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,Magsuot ng mask o pantakip sa bibig at ilong lalo na kapag lalabas at ugaliing maghugas ng kamay.
64,Virus,"Pagsagap ng mga maliit na talsik ng laway mula sa pagsasalita, pagbahing, o pag-ubo (droplets)","A, B, at C","A, B, at C","A, B, at C","Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Lahat ng nabanggit,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,Magsuot ng mask o pantakip sa bibig at ilong lalo na kapag lalabas at ugaliing maghugas ng kamay.
119,Virus,"Pagsagap ng mga maliit na talsik ng laway mula sa pagsasalita, pagbahing, o pag-ubo (droplets)","A, B, at C","A, B, at C","A, B, at C","Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Lahat ng nabanggit,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,Magsuot ng mask o pantakip sa bibig at ilong lalo na kapag lalabas at ugaliing maghugas ng kamay.
61,Virus,"Pagsagap ng mga maliit na talsik ng laway mula sa pagsasalita, pagbahing, o pag-ubo (droplets)","A, B, at C","A, B, at C","A, B, at C","Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Lahat ng nabanggit,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,Magsuot ng mask o pantakip sa bibig at ilong lalo na kapag lalabas at ugaliing maghugas ng kamay.
192,Virus,"Pagsagap ng mga maliit na talsik ng laway mula sa pagsasalita, pagbahing, o pag-ubo (droplets)","A, B, at C","A, B, at C","A, B, at C","Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Lahat ng nabanggit,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,Magsuot ng mask o pantakip sa bibig at ilong lalo na kapag lalabas at ugaliing maghugas ng kamay.
191,Virus,"Pagsagap ng mga maliit na talsik ng laway mula sa pagsasalita, pagbahing, o pag-ubo (droplets)","A, B, at C","A, B, at C","A, B, at C","Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Lahat ng nabanggit,Lahat ng nabanggit,"Humingi ng medikal na atensyon kung nakaramdam ng hirap sa paghinga, sakit sa dibdib, o iba pang kabaha-bahalang sintomas.","Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,Magsuot ng mask o pantakip sa bibig at ilong lalo na kapag lalabas at ugaliing maghugas ng kamay.
188,Virus,"Pagsagap ng mga maliit na talsik ng laway mula sa pagsasalita, pagbahing, o pag-ubo (droplets)","A, B, at C","A, B, at C","A, B, at C","Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Lahat ng nabanggit,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,Magsuot ng mask o pantakip sa bibig at ilong lalo na kapag lalabas at ugaliing maghugas ng kamay.
223,Virus,"Pagsagap ng mga maliit na talsik ng laway mula sa pagsasalita, pagbahing, o pag-ubo (droplets)","A, B, at C","A, B, at C","A, B, at C","Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Lahat ng nabanggit,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,Magsuot ng mask o pantakip sa bibig at ilong lalo na kapag lalabas at ugaliing maghugas ng kamay.
220,Virus,"Pagsagap ng mga maliit na talsik ng laway mula sa pagsasalita, pagbahing, o pag-ubo (droplets)","A, B, at C","A, B, at C","A, B, at C","Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Lahat ng nabanggit,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,B at C lamang
23,Virus,"Pagsagap ng mga maliit na talsik ng laway mula sa pagsasalita, pagbahing, o pag-ubo (droplets)","A, B, at C","A, B, at C","A, B, at C","Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Lahat ng nabanggit,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,B at C lamang
217,Virus,"Pagsagap ng mga maliit na talsik ng laway mula sa pagsasalita, pagbahing, o pag-ubo (droplets)","A, B, at C","A, B, at C","A, B, at C","Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Lahat ng nabanggit,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,Magsuot ng mask o pantakip sa bibig at ilong lalo na kapag lalabas at ugaliing maghugas ng kamay.
21,Virus,"Pagsagap ng mga maliit na talsik ng laway mula sa pagsasalita, pagbahing, o pag-ubo (droplets)","A, B, at C","A, B, at C","A, B, at C","Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Lahat ng nabanggit,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,Magsuot ng mask o pantakip sa bibig at ilong lalo na kapag lalabas at ugaliing maghugas ng kamay.
222,,,,,,,,,,,,,,,
54,Virus,"Pagsagap ng mga maliit na talsik ng laway mula sa pagsasalita, pagbahing, o pag-ubo (droplets)","A, B, at C","A, B, at C","A, B, at C","Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Lahat ng nabanggit,Lahat ng nabanggit,Ihiwalay ang sarili sa ibang tao at subaybayan ang iyong mga sintomas.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,Magsuot ng mask o pantakip sa bibig at ilong lalo na kapag lalabas at ugaliing maghugas ng kamay.
56,Virus,"Pagsagap ng mga maliit na talsik ng laway mula sa pagsasalita, pagbahing, o pag-ubo (droplets)","A, B, at C","A, B, at C","A, B, at C","Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Lahat ng nabanggit,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,Magsuot ng mask o pantakip sa bibig at ilong lalo na kapag lalabas at ugaliing maghugas ng kamay.
53,Virus,"Pagsagap ng mga maliit na talsik ng laway mula sa pagsasalita, pagbahing, o pag-ubo (droplets)","A, B, at C","A, B, at C","A, B, at C","Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Lahat ng nabanggit,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,Magsuot ng mask o pantakip sa bibig at ilong lalo na kapag lalabas at ugaliing maghugas ng kamay.
55,Virus,"Pagsagap ng mga maliit na talsik ng laway mula sa pagsasalita, pagbahing, o pag-ubo (droplets)","A, B, at C","A, B, at C","A, B, at C","Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Lahat ng nabanggit,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,Magsuot ng mask o pantakip sa bibig at ilong lalo na kapag lalabas at ugaliing maghugas ng kamay.
25,Virus,"Pagsagap ng mga maliit na talsik ng laway mula sa pagsasalita, pagbahing, o pag-ubo (droplets)","A, B, at C","A, B, at C","A, B, at C","Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Lahat ng nabanggit,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",20 segundo,Magsuot ng mask o pantakip sa bibig at ilong lalo na kapag lalabas at ugaliing maghugas ng kamay.
156,Virus,Pagpasa mula sa mga insekto tulad ng mga lamok at langaw (vector-borne),"A, B, at C","A, B, at C",Malalang Pneumonia (Severe Pneumonia),"Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Lahat ng nabanggit,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",10 segundo,Magsuot ng mask o pantakip sa bibig at ilong lalo na kapag lalabas at ugaliing maghugas ng kamay.
160,Virus,"Pagsagap ng mga maliit na talsik ng laway mula sa pagsasalita, pagbahing, o pag-ubo (droplets)",Tuyong Ubo,"A, B, at C","A, B, at C","Oo, maaaring hindi lahat ng sintomas ay maranasan ng ibang tao.",Lahat ng nabanggit,Lahat ng nabanggit,Lahat ng nabanggit.,"Makalipas ang 10 araw mula nang lumitaw ang unang sintomas, walang lagnat ng 24 na oras nang hindi gumagamit ng pampababa nito, at gumaling na mula sa ibang sintomas.","Hindi, dahil gamot lamang sa bacteria ang antibiotics at hindi ito gagana sa COVID-19.","Hindi, dahil ito’y hindi gamot para sa COVID-19 at maaari pang makapagdulot ng paso sa gagawa nito.","Hindi, kumakalat ito sa kahit anong uri ng klima.",,Magsuot ng mask o pantakip sa bibig at ilong lalo na kapag lalabas at ugaliing maghugas ng kamay.
